id_code,start_time,end_time,duration,MaxScale_item1,MaxScale_item2,MaxScale_item3,MaxScale_item4,MaxScale_item5,MaxScale_item59745,MaxScale_item7,MaxScale_item8,MaxScale_item9,MaxScale_item10,MaxScale_item11,MaxScale_item12,MaxScale_item13,GratQ_item1,GratQ_item2,GratQ_item3,GratQ_item4,GratQ_item5,GratQ_item6,PGIS_item1,PGIS_item2,PGIS_item3,PGIS_item4,PGIS_item5,PGIS_item6,PGIS_item7,PGIS_item8,PGIS_item9,SatLive_item1,SatLive_item2,SatLive_item3,SatLive_item4,SatLive_item5,PersGro_item1,PurpLife_item1,PersGro_item2,PurpLive_item2,PurpLive_item3,PersGro_item3,PersGro_item4,PurpLive_item4,PersGro_item5,PurpLive_item5,PurpLive_item6,PersGro_item6,PurpLive_item7,PersGro_item7,PurpLive_item8,PersGro_item8,PersGro_item9,PurpLive_item9,Demogr_Age,Demogr_Gender,HWQ_item1,HWS_item1ja,HWS_item1nee,HWS_item2,HWG_item2ja,HWS_item2nee,HWS_item3,HWS_item3ja,HWS_item3nee,HWS_item4,HWS_item4ja,HWS_item4nee,HWS_item5,HWS_item5ja,HWS_item5nee,HWS_item6,HWS_item6ja,Indienugeenv,HWS_item7,HWS_item7ja,HWS_item7nee,HWS_item8,HWS_item8ja,HWS_item8nee,HWS_item9,HWS_item9ja,HWS_item9nee,HWS_item10,HWS_item10ja,HWS_item10nee,HWS_item11,HWS_item11ja,HWS_item11nee,HWS_item12,HWS_item12ja,HWS_item12nee,HWS_item13,HWS_item13ja,HWS_item13nee,HWS_item14,HWS_item14ja,HWS_item14nee,HWS_item15,HWS_item15ja,HWS_item15nee,HWS_item16,HWS_item16ja,HWS_item16nee,HWS_item17,HWS_item17ja,HWS_item17nee,HWS_item18,HWS_item18ja,HWS_item18nee,HWS_item19,HWS_item19ja,HWS_item19nee,HWS_item20,HWS_item20ja,HWS_item20nee,HWS_item21,HWS_item21ja,HWS_item21nee,HWS_item22,HWS_item22ja,HWS_item22nee,HWS_item23,HWS_item23ja,HWS_item23nee,HWS_item24,HWS_item24ja,HWS_item24nee,HWS_item25,HWS_item25ja,HWS_item25nee,HWS_item26,HWS_item26ja,HWS_item26nee,HWS_item27,HWS_item27ja,HWS_item27nee,HWS_item28,HWS_item28ja,HWS_item28nee,HWS_item29,HWS_item29ja,HWS_item29nee,HWS_item30,HWS_item30ja,HWS_item30nee,HWS_item31,HWS_item31ja,HWS_item31nee,HWS_item32,HWS_item32ja,HWS_item32nee,HWS_item33,HWS_item33ja,HWS_item33nee,HWS_item34,HWS_item34ja,HWS_item34nee,HWS_item35,HWS_item35ja,HWS_item35nee,HWS_item36,HWS_item36ja,HWS_item36nee,HWS_item37,HWS_item37ja,HWS_item37nee,HWS_item38,HWS_item38ja,HWS_item38nee,HWS_item39,HWS_item39ja,HWS_item39nee,HWS_item40,HWS_item40ja,HWS_item40nee,HWS_item41,HWS_item41ja,HWS_item41nee,HWS_item42,HWS_item42ja,HWS_item42nee,HWS_item43,HWS_item43ja,HWS_item43nee,HWS_item44,HWS_item44ja,HWS_item44nee,HWS_item45,HWS_item45ja,HWS_item45nee,HWS_item46,HWS_item46ja,HWS_item46nee,HWS_item47,HWS_item47ja,HWS_item47nee,HWS_item48,HWS_item48ja,HWS_item48nee,HWS_item49,HWS_item49ja,HWS_item49nee,HWS_item50,HWS_item50ja,HWS_item50nee,HWS_item51,HWS_item51ja,HWS_item51nee,HWS_item52,HWS_item52ja,HWS_item52nee,HWS_item53,HWS_item53ja,HWS_item53nee,HWS_item54,HWS_item54ja,HWS_item54nee,HWS_item55,HWS_item55ja,HWS_item55nee,HWS_item56,HWS_item56ja,HWS_item56nee,HWS_item57,HWS_item57ja,HWS_item57nee,HWS_item58,HWS_item58ja,HWS_item58nee,HWS_item59,HWS_item59ja,HWS_item59nee,HWS_item60,HWS_item60ja,HWS_item60nee
79366,29October201410:10,29October201410:34,24,5,6,1,1,4,5,1,1,1,3,1,1,4,7,7,1,6,6,1,3,3,1,4,5,2,5,1,1,6,7,7,4,6,2,4,5,3,4,1,6,2,3,1,1,5,2,1,2,3,2,5,21,female,TRUE,,,TRUE,7,,TRUE,,,FALSE,,9,TRUE,9,,FALSE,,5,FALSE,,9,FALSE,,,FALSE,,4,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,7,,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,2,TRUE,9,,TRUE,9,,FALSE,,2,TRUE,9,,FALSE,,7,FALSE,,3,FALSE,,5,TRUE,9,,FALSE,,9,TRUE,9,,TRUE,9,,TRUE,6,,TRUE,6,,FALSE,,9,TRUE,9,,TRUE,9,,TRUE,8,,TRUE,9,,TRUE,9,,FALSE,,5,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,3,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,,TRUE,9,,FALSE,,7,TRUE,7,,TRUE,9,,TRUE,9,,FALSE,,9,TRUE,9,,TRUE,7,
69064,30October201412:42,30October201412:59,17,5,2,2,2,5,2,3,5,2,3,3,3,3,6,5,2,6,5,2,5,5,4,4,5,4,5,4,4,5,6,6,6,2,2,5,5,3,4,2,5,2,2,2,2,5,2,2,2,3,2,5,21,female,TRUE,9,,FALSE,,3,TRUE,8,,FALSE,,9,FALSE,,7,TRUE,8,,FALSE,,9,FALSE,,8,FALSE,,4,TRUE,9,,TRUE,8,,TRUE,9,,TRUE,8,,TRUE,9,,TRUE,7,,TRUE,9,,TRUE,7,,TRUE,9,,FALSE,,6,TRUE,8,,TRUE,8,,FALSE,,1,TRUE,9,,FALSE,,3,TRUE,7,,FALSE,,4,TRUE,9,,FALSE,,3,TRUE,9,,TRUE,7,,FALSE,,7,TRUE,8,,FALSE,,6,TRUE,9,,TRUE,9,,TRUE,8,,TRUE,9,,TRUE,9,,FALSE,,6,TRUE,9,,TRUE,8,,TRUE,9,,TRUE,8,,TRUE,9,,TRUE,9,,TRUE,6,,TRUE,9,,TRUE,8,,TRUE,9,,TRUE,8,,TRUE,8,,FALSE,,7,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,9,,TRUE,9,,TRUE,7,,TRUE,9,,TRUE,7,
78526,31October201415:16,31October201415:36,20,5,5,2,3,4,5,5,1,2,3,4,3,3,6,6,2,4,5,2,4,4,3,3,5,4,5,4,3,6,6,6,5,5,2,5,5,2,4,2,6,2,3,1,2,5,2,1,2,4,2,5,20,female,TRUE,9,,TRUE,8,,TRUE,6,,FALSE,,9,FALSE,,8,TRUE,6,,FALSE,,8,TRUE,9,,TRUE,6,,TRUE,7,,TRUE,7,,TRUE,6,,TRUE,6,,TRUE,8,,TRUE,7,,TRUE,6,,TRUE,6,,TRUE,9,,FALSE,,7,FALSE,,2,TRUE,8,,FALSE,,1,TRUE,8,,TRUE,7,,FALSE,,3,FALSE,,1,TRUE,9,,FALSE,,1,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,5,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,7,,FALSE,,7,TRUE,9,,TRUE,8,,TRUE,8,,TRUE,9,,TRUE,9,,TRUE,7,,TRUE,6,,TRUE,9,,TRUE,9,,TRUE,7,,TRUE,9,,TRUE,6,,TRUE,8,,TRUE,7,,FALSE,,8,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,9,,TRUE,9,,FALSE,,7
86074,29October201412:32,29October201412:49,17,5,2,2,1,5,3,6,2,5,1,3,7,3,6,6,4,5,4,6,5,3,4,5,5,3,5,1,3,5,7,6,6,6,3,2,5,3,2,2,3,1,5,4,2,5,4,2,2,1,2,5,19,female,TRUE,9,,TRUE,7,,TRUE,9,,FALSE,,9,FALSE,,7,FALSE,,3,FALSE,,8,FALSE,,1,TRUE,7,,TRUE,8,,TRUE,9,,TRUE,9,,TRUE,7,,TRUE,8,,FALSE,,3,TRUE,8,,TRUE,6,,TRUE,9,,FALSE,,1,TRUE,8,,TRUE,7,,TRUE,2,,TRUE,5,,TRUE,8,,FALSE,,1,FALSE,,1,TRUE,2,,FALSE,,1,TRUE,9,,TRUE,6,,TRUE,3,,TRUE,7,,FALSE,,6,TRUE,7,,TRUE,9,,TRUE,9,,TRUE,8,,TRUE,6,,FALSE,,7,TRUE,7,,TRUE,8,,TRUE,7,,TRUE,8,,TRUE,9,,TRUE,7,,TRUE,7,,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,6,,TRUE,7,,FALSE,,7,TRUE,9,,TRUE,8,,TRUE,6,,TRUE,8,,TRUE,7,,TRUE,6,,TRUE,7,,FALSE,,8
86152,29October201413:44,29October201413:58,14,3,3,3,1,3,1,6,3,2,4,3,1,2,6,4,4,4,5,3,5,5,4,4,6,5,6,4,5,4,4,6,5,7,2,6,4,2,5,3,5,2,4,2,2,6,3,2,2,4,2,2,20,female,TRUE,9,,FALSE,,2,TRUE,9,,FALSE,,9,FALSE,,7,FALSE,,3,FALSE,,5,FALSE,,8,FALSE,,2,TRUE,5,,TRUE,8,,TRUE,8,,TRUE,6,,TRUE,6,,TRUE,6,,TRUE,7,,TRUE,6,,TRUE,7,,FALSE,2,,TRUE,9,,TRUE,6,,FALSE,,2,TRUE,7,,TRUE,5,,TRUE,6,,TRUE,5,,TRUE,8,,FALSE,,2,TRUE,,,TRUE,5,,FALSE,,3,TRUE,8,,TRUE,8,,TRUE,7,,TRUE,9,,TRUE,7,,TRUE,8,,TRUE,8,,FALSE,,8,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,8,,TRUE,9,,TRUE,5,,TRUE,7,,TRUE,8,,TRUE,6,,TRUE,8,,TRUE,8,,TRUE,5,,TRUE,4,,TRUE,6,,FALSE,,6,TRUE,5,,TRUE,4,,TRUE,5,,TRUE,5,,TRUE,5,,TRUE,6,
86848,29October201421:13,29October201421:37,24,3,6,5,6,5,3,3,4,5,5,5,5,4,6,6,4,6,6,3,4,5,4,5,5,5,4,5,4,5,5,5,5,5,2,5,5,2,5,2,5,4,3,3,3,5,1,2,3,4,3,4,20,female,FALSE,,9,FALSE,,1,TRUE,7,,FALSE,,9,FALSE,,1,FALSE,,3,FALSE,,9,FALSE,,1,FALSE,,9,TRUE,8,,TRUE,6,,TRUE,7,,TRUE,6,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,8,,TRUE,7,,TRUE,7,,FALSE,,1,TRUE,7,,TRUE,7,,TRUE,8,,TRUE,8,,TRUE,7,,FALSE,,1,TRUE,6,,TRUE,6,,TRUE,8,,FALSE,,1,TRUE,9,,TRUE,9,,FALSE,,7,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,1,TRUE,9,,TRUE,9,,TRUE,7,,TRUE,7,,TRUE,9,,TRUE,8,,TRUE,8,,TRUE,9,,TRUE,7,,TRUE,6,,TRUE,7,,FALSE,,9,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,8,,TRUE,7,,TRUE,8,,TRUE,6,,TRUE,8,,TRUE,7,
89179,31October201415:19,31October201415:37,18,3,2,4,1,7,4,5,2,3,4,3,7,6,7,5,4,3,3,4,4,5,3,2,5,4,4,3,3,6,7,5,6,5,4,3,3,4,2,5,4,3,5,6,2,5,5,4,3,5,3,4,20,female,FALSE,,9,FALSE,,1,TRUE,8,,FALSE,,9,FALSE,,7,TRUE,5,,FALSE,,9,FALSE,,9,FALSE,,9,TRUE,8,,TRUE,7,,TRUE,7,,TRUE,6,,TRUE,9,,TRUE,5,,TRUE,7,,TRUE,9,,TRUE,8,,FALSE,,6,TRUE,9,,TRUE,7,,FALSE,,1,TRUE,6,,TRUE,8,,TRUE,9,,FALSE,,3,TRUE,8,,FALSE,,2,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,8,,TRUE,8,,TRUE,8,,FALSE,,9,TRUE,7,,TRUE,9,,TRUE,9,,FALSE,,1,FALSE,,9,TRUE,8,,TRUE,9,,TRUE,7,,FALSE,,4,TRUE,6,,TRUE,5,,TRUE,8,,TRUE,7,,TRUE,8,,FALSE,,8,TRUE,5,,TRUE,6,,TRUE,6,,FALSE,,7,FALSE,,5,TRUE,6,,TRUE,4,,TRUE,5,,TRUE,6,,TRUE,4,
89737,31October201419:48,31October201420:15,27,5,5,5,3,3,4,3,3,2,6,3,2,5,6,6,2,6,6,2,4,4,5,4,5,4,6,5,4,6,6,6,5,6,2,4,5,2,5,2,5,2,5,2,3,6,4,2,2,5,2,5,20,female,TRUE,8,,TRUE,7,,TRUE,8,,FALSE,,9,TRUE,3,,TRUE,7,,FALSE,,8,FALSE,,3,TRUE,6,,TRUE,8,,TRUE,8,,TRUE,7,,TRUE,6,,TRUE,7,,TRUE,5,,TRUE,7,,TRUE,6,,TRUE,8,,FALSE,,5,TRUE,9,,TRUE,9,,FALSE,,2,TRUE,8,,FALSE,,3,FALSE,,3,TRUE,8,,TRUE,7,,FALSE,,4,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,9,,FALSE,,7,TRUE,8,,FALSE,,8,TRUE,7,,TRUE,7,,TRUE,7,,FALSE,,3,TRUE,9,,TRUE,8,,TRUE,8,,TRUE,8,,FALSE,,1,TRUE,9,,TRUE,6,,TRUE,8,,TRUE,4,,TRUE,9,,TRUE,9,,TRUE,7,,FALSE,,6,TRUE,7,,TRUE,8,,TRUE,9,,TRUE,9,,TRUE,7,,TRUE,5,,TRUE,9,,TRUE,6,
95182,29October201420:30,29October201420:42,12,2,6,3,2,4,3,5,4,6,5,6,5,6,7,6,5,6,6,6,5,5,4,5,5,4,5,5,4,6,7,6,5,6,2,4,6,2,5,6,5,2,3,2,2,5,2,2,2,4,3,5,19,female,FALSE,,9,TRUE,7,,TRUE,9,,FALSE,,8,FALSE,,6,FALSE,,7,FALSE,,8,FALSE,,6,TRUE,8,,TRUE,8,,TRUE,7,,TRUE,6,,TRUE,8,,TRUE,7,,TRUE,8,,TRUE,7,,TRUE,8,,TRUE,6,,FALSE,,3,TRUE,8,,TRUE,8,,TRUE,7,,TRUE,8,,TRUE,7,,FALSE,,1,FALSE,,3,TRUE,8,,FALSE,,3,FALSE,,5,TRUE,8,,TRUE,8,,FALSE,,3,FALSE,,3,TRUE,7,,FALSE,,7,TRUE,8,,TRUE,6,,TRUE,8,,FALSE,,2,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,5,,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,6,,TRUE,7,,TRUE,8,,FALSE,,8,FALSE,,7,TRUE,8,,TRUE,7,,FALSE,,6,TRUE,8,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,6,
95287,30October201412:08,30October201412:26,18,2,2,1,3,6,4,5,3,4,6,6,5,6,3,2,5,2,3,6,4,3,2,1,4,5,4,1,2,4,3,2,1,1,1,4,4,5,2,2,6,1,3,5,1,5,4,3,4,5,5,3,23,man,FALSE,,8,FALSE,,4,TRUE,8,,FALSE,,9,FALSE,,1,FALSE,,1,FALSE,,9,FALSE,,5,FALSE,,5,TRUE,7,,FALSE,,9,TRUE,7,,TRUE,7,,TRUE,9,,TRUE,5,,TRUE,7,,TRUE,9,,TRUE,3,,FALSE,,8,FALSE,,1,TRUE,9,,FALSE,,1,TRUE,6,,FALSE,,9,FALSE,,6,FALSE,,7,TRUE,7,,FALSE,,2,FALSE,,1,TRUE,5,,FALSE,,5,TRUE,9,,FALSE,,1,TRUE,5,,FALSE,,9,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,4,TRUE,5,,TRUE,6,,TRUE,6,,FALSE,,9,FALSE,,7,TRUE,9,,TRUE,4,,TRUE,8,,TRUE,4,,TRUE,6,,TRUE,6,,FALSE,,,FALSE,,3,TRUE,3,,FALSE,,4,FALSE,,8,TRUE,6,,TRUE,3,,FALSE,,8,FALSE,,5,FALSE,,9
95491,30October201418:45,30October201419:06,21,5,1,1,1,6,2,6,6,1,6,7,7,7,2,2,6,2,1,6,4,2,3,4,3,4,2,3,1,2,6,1,1,2,1,2,5,6,5,5,6,6,1,6,4,4,3,1,5,4,2,1,18,female,FALSE,,9,FALSE,,8,TRUE,9,,FALSE,,9,FALSE,,3,FALSE,,2,FALSE,,9,FALSE,,9,FALSE,,8,TRUE,5,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,6,,FALSE,,2,TRUE,7,,TRUE,7,,TRUE,7,,FALSE,,2,TRUE,5,,TRUE,6,,FALSE,,1,TRUE,7,,FALSE,,,FALSE,,1,FALSE,,1,TRUE,7,,FALSE,,1,FALSE,,1,TRUE,5,,FALSE,,2,TRUE,6,,FALSE,,1,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,5,,TRUE,7,,FALSE,,1,TRUE,9,,TRUE,8,,TRUE,7,,FALSE,,8,FALSE,,8,TRUE,8,,TRUE,9,,TRUE,7,,TRUE,6,,TRUE,6,,TRUE,9,,TRUE,4,,TRUE,5,,TRUE,7,,TRUE,6,,TRUE,7,,TRUE,8,,TRUE,3,,TRUE,4,,TRUE,7,,FALSE,,4
95509,29October201416:04,29October201416:20,16,1,7,5,3,7,7,7,7,7,4,7,7,7,4,2,6,2,4,5,2,4,3,1,4,2,4,2,6,1,1,1,1,1,1,5,4,6,3,5,6,5,1,4,1,6,1,3,5,4,3,4,21,female,FALSE,,9,FALSE,,9,TRUE,4,,FALSE,,9,FALSE,,5,FALSE,,6,FALSE,,9,FALSE,,9,FALSE,,6,TRUE,,9,FALSE,,9,TRUE,8,,TRUE,2,,TRUE,6,,TRUE,3,,TRUE,7,,TRUE,4,,FALSE,,8,TRUE,3,,FALSE,,1,FALSE,,9,FALSE,,8,TRUE,4,,FALSE,,9,FALSE,,4,FALSE,,1,TRUE,4,,FALSE,,1,FALSE,,1,FALSE,,1,FALSE,,1,TRUE,1,,FALSE,,1,FALSE,,1,FALSE,,1,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,1,FALSE,,1,TRUE,6,,FALSE,,9,FALSE,,9,FALSE,,9,FALSE,,9,TRUE,9,,TRUE,4,,TRUE,2,,FALSE,,9,FALSE,,9,FALSE,,9,FALSE,,9,FALSE,,9,FALSE,,9,FALSE,,9,TRUE,5,,FALSE,,6,FALSE,,2,TRUE,4,,FALSE,,9
95539,31October201410:27,31October201410:52,25,3,1,1,1,5,1,4,5,6,2,4,6,7,6,5,4,5,6,3,5,5,4,3,5,6,5,3,2,3,4,3,3,2,1,6,4,3,5,5,5,1,1,3,1,6,1,1,2,5,4,5,19,female,FALSE,,9,FALSE,,5,TRUE,9,,FALSE,,9,FALSE,,8,FALSE,,4,FALSE,,9,FALSE,,9,TRUE,9,,TRUE,9,,TRUE,6,,TRUE,9,,TRUE,9,,TRUE,8,,FALSE,,3,TRUE,9,,TRUE,7,,TRUE,8,,TRUE,9,,TRUE,6,,TRUE,9,,FALSE,,1,TRUE,9,,TRUE,9,,FALSE,,5,FALSE,,4,TRUE,9,,FALSE,,2,TRUE,7,,TRUE,9,,TRUE,7,,TRUE,9,,FALSE,,1,TRUE,9,,TRUE,8,,TRUE,5,,TRUE,8,,TRUE,9,,FALSE,,6,TRUE,9,,TRUE,9,,TRUE,8,,FALSE,,9,FALSE,,5,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,9,TRUE,9,,TRUE,9,,FALSE,,9,FALSE,,5,TRUE,9,,TRUE,8,,TRUE,9,,FALSE,,9,TRUE,9,,FALSE,,9,FALSE,,9,TRUE,9,
95767,30October201419:00,30October201419:15,15,3,6,5,4,6,5,3,6,2,5,6,5,5,5,6,5,3,6,5,5,3,4,3,3,2,3,4,4,3,5,3,5,3,1,4,5,5,5,2,5,3,2,3,1,6,2,2,2,4,2,5,18,female,FALSE,,7,FALSE,,5,TRUE,9,,FALSE,,7,FALSE,,3,FALSE,,1,FALSE,,8,FALSE,,7,TRUE,8,,TRUE,8,,TRUE,9,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,6,,TRUE,7,,TRUE,8,,TRUE,5,,FALSE,,3,TRUE,4,,TRUE,7,,TRUE,2,,TRUE,5,,TRUE,5,,FALSE,,3,FALSE,,4,TRUE,7,,FALSE,,6,TRUE,8,,TRUE,7,,FALSE,,3,FALSE,,6,TRUE,,,TRUE,8,,FALSE,,8,FALSE,,8,TRUE,9,,TRUE,9,,FALSE,,2,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,6,,TRUE,8,,TRUE,8,,TRUE,8,,FALSE,,8,TRUE,7,,TRUE,6,,TRUE,6,,FALSE,,5,TRUE,7,,TRUE,9,,FALSE,,5,TRUE,7,,TRUE,8,,FALSE,,6,TRUE,6,,FALSE,,4
95812,30October201416:39,30October201416:59,20,3,5,4,2,3,3,2,2,4,4,3,3,3,6,5,3,5,5,4,3,4,4,4,5,4,5,3,4,5,5,5,5,4,1,5,5,2,4,2,5,2,1,1,1,5,1,1,1,1,1,5,20,female,FALSE,,9,FALSE,,2,TRUE,9,,FALSE,,9,FALSE,,5,FALSE,,4,FALSE,,9,FALSE,,9,FALSE,,6,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,7,,TRUE,8,,TRUE,9,,FALSE,,1,TRUE,9,,FALSE,,3,FALSE,,5,FALSE,,6,TRUE,9,,FALSE,,3,TRUE,9,,TRUE,9,,TRUE,8,,FALSE,,4,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,6,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,8,,FALSE,,1,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,7,,TRUE,9,,FALSE,,8,TRUE,,9,FALSE,,8,TRUE,8,,TRUE,8,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,
95926,29October201421:37,29October201421:59,22,2,2,3,1,5,3,5,1,2,2,2,4,2,7,7,7,7,3,2,2,1,2,4,3,2,2,2,2,3,4,4,1,5,1,2,3,5,4,4,6,5,2,4,1,5,5,2,2,4,2,3,19,female,FALSE,,9,TRUE,9,,TRUE,9,,FALSE,,9,FALSE,,6,FALSE,,7,FALSE,,9,FALSE,,2,FALSE,9,9,TRUE,9,,TRUE,8,,FALSE,,3,TRUE,7,,TRUE,9,9,TRUE,9,9,FALSE,,3,TRUE,9,9,TRUE,9,,FALSE,,3,TRUE,9,9,FALSE,9,7,FALSE,,,TRUE,9,9,TRUE,9,8,FALSE,,1,FALSE,,1,TRUE,9,9,FALSE,,2,FALSE,,1,TRUE,7,9,FALSE,,1,TRUE,9,9,TRUE,,9,TRUE,9,9,FALSE,,7,TRUE,9,9,TRUE,9,,TRUE,9,,FALSE,,8,FALSE,9,9,TRUE,9,9,TRUE,9,9,TRUE,6,9,FALSE,,9,TRUE,9,9,TRUE,9,9,TRUE,9,9,TRUE,6,9,TRUE,7,9,TRUE,9,9,FALSE,9,9,TRUE,9,9,TRUE,9,9,FALSE,9,9,FALSE,,9,TRUE,9,9,TRUE,9,9,FALSE,6,9,TRUE,9,9,FALSE,6,9
96004,29October201422:22,29October201422:44,22,3,5,6,3,6,4,5,6,6,4,4,4,4,3,3,5,5,6,5,3,1,3,3,4,3,2,2,5,2,4,3,5,4,3,3,3,4,1,5,4,5,3,5,3,4,4,3,3,5,3,2,19,female,FALSE,,7,FALSE,,6,TRUE,9,,FALSE,,7,FALSE,,5,FALSE,,4,FALSE,,6,FALSE,,7,FALSE,,6,TRUE,8,,TRUE,9,,FALSE,,7,TRUE,9,,TRUE,9,,TRUE,8,,FALSE,,7,TRUE,7,,TRUE,8,,FALSE,,6,TRUE,6,,TRUE,9,,TRUE,5,,TRUE,9,,FALSE,,8,FALSE,,5,FALSE,,4,TRUE,6,,TRUE,7,,FALSE,7,,TRUE,8,,FALSE,,8,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,8,TRUE,7,,TRUE,7,,TRUE,8,,FALSE,,7,TRUE,9,,FALSE,,,TRUE,9,,TRUE,8,,TRUE,9,,TRUE,9,,TRUE,8,,TRUE,7,,FALSE,,9,TRUE,8,,FALSE,,8,FALSE,,9,FALSE,,7,TRUE,7,,TRUE,8,,FALSE,,8,TRUE,8,,FALSE,,9,FALSE,,8,TRUE,9,,TRUE,7,
96145,30October201416:25,30October201416:41,16,4,2,2,2,3,2,2,1,2,2,2,2,2,6,6,2,6,6,2,4,4,4,4,5,4,5,3,3,3,6,6,4,5,2,4,5,2,4,2,5,2,2,2,2,5,4,2,2,2,3,5,18,female,FALSE,,9,FALSE,,7,TRUE,9,,FALSE,,9,FALSE,,7,FALSE,,3,FALSE,,8,FALSE,,6,FALSE,,8,TRUE,8,,TRUE,9,,TRUE,7,,TRUE,7,,TRUE,8,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,8,,FALSE,,4,TRUE,7,,TRUE,9,,FALSE,,1,TRUE,7,,TRUE,8,,TRUE,8,,FALSE,,5,TRUE,7,,FALSE,,4,TRUE,8,,TRUE,7,,FALSE,,6,TRUE,9,,FALSE,,5,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,3,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,8,,TRUE,9,,TRUE,7,,TRUE,9,,TRUE,8,,TRUE,8,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,7,,TRUE,6,
96181,29October201419:42,29October201420:36,54,3,5,6,4,5,5,5,6,5,4,4,4,6,6,6,2,6,6,5,4,5,4,3,5,5,5,3,4,4,6,6,3,3,5,5,5,3,4,2,5,2,2,2,2,4,3,3,2,3,2,5,18,female,FALSE,,9,TRUE,5,,TRUE,9,,FALSE,,8,FALSE,,6,FALSE,,4,FALSE,,8,FALSE,,9,FALSE,,8,TRUE,8,,TRUE,9,,TRUE,7,,TRUE,9,,TRUE,9,,TRUE,8,,TRUE,7,,TRUE,5,,TRUE,7,,FALSE,,8,TRUE,8,,TRUE,8,,FALSE,,1,TRUE,9,,FALSE,,3,FALSE,,3,FALSE,,4,TRUE,7,,FALSE,,7,FALSE,,6,TRUE,6,,TRUE,6,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,TRUE,9,,FALSE,,8,TRUE,9,,TRUE,8,,TRUE,7,,TRUE,9,,TRUE,4,,TRUE,9,,TRUE,8,,TRUE,9,,TRUE,8,,TRUE,8,,TRUE,8,,TRUE,7,,FALSE,,7,TRUE,8,,TRUE,7,,FALSE,6,,TRUE,8,,TRUE,9,,TRUE,7,,TRUE,8,,TRUE,8,
